from,to
88150,78775
88250,78875
88750,79375
90625,81250
90626,81251
90630,81255
90650,81275
90750,81375
91250,81875
93750,0
93751,1
93752,93750
93753,93750
93754,93751
93755,5
93756,93750
93757,93755
93758,93755
93760,93750
93761,93751
93762,93760
93765,93750
93766,93751
93770,93755
93775,25
93776,93750
93777,93775
93778,93775
93780,93750
93781,93750
93782,93751
93785,93775
93786,93755
93790,93775
93800,93750
93801,93751
93802,93800
93805,93755
93806,93775
93810,93800
93825,93750
93826,93751
93830,93755
93850,93775
93875,125
93876,126
93877,93875
93878,93875
93880,93750
93881,93751
93882,93880
93885,93875
93886,93756
93890,93875
93900,93750
93901,93875
93902,93900
93905,93750
93906,93875
93910,93755
93925,93875
93926,93900
93930,93775
93950,93875
94000,93750
94001,93751
94002,94000
94005,93755
94006,93756
94010,94000
94025,93775
94026,93776
94030,93875
94050,94000
94125,93750
94126,93751
94130,93755
94150,93775
94250,93875
94375,78125
94376,78126
94377,94375
94378,94375
94380,78130
94381,78131
94382,94380
94385,94375
94386,94376
94390,94375
94400,93750
94401,94375
94402,94400
94405,93755
94406,94375
94410,94400
94425,94375
94426,94400
94430,93780
94450,94375
94500,93750
94501,93751
94502,94500
94505,94375
94506,94500
94510,94500
94525,93750
94526,93751
94530,94375
94550,93775
94625,94375
94626,94376
94630,94500
94650,93875
94750,94375
95000,93750
95001,93751
95002,95000
95005,93755
95006,93756
95010,95000
95025,93775
95026,93776
95030,93780
95050,95000
95125,93875
95126,93876
95130,93880
95150,94375
95250,95000
95625,93750
95626,93751
95630,93755
95650,93775
95750,93875
96250,94375
96875,0
96876,1
96877,2
96878,96875
96880,5
96881,6
96882,7
96885,10
96886,11
96890,96875
96900,25
96901,26
96902,27
96905,30
96906,96875
96910,35
96925,50
96926,51
96930,55
96950,96875
97000,125
97001,126
97002,127
97005,130
97006,131
97010,135
97025,150
97026,151
97030,96875
97050,175
97125,250
97126,251
97130,255
97150,275
97250,96875
97500,78125
97501,78126
97502,78127
97505,78130
97506,78131
97510,78135
97525,78150
97526,78151
97530,78155
97550,78175
97625,93750
97626,93751
97630,93755
97650,96875
97750,93875
98125,78750
98126,78751
98130,78755
98150,78775
98250,94375
98750,96875
100000,3125
100001,3126
100002,3127
100005,3130
100006,3131
100010,3135
100025,3150
100026,3151
100030,3155
100050,3175
100125,3250
100126,3251
100130,3255
100150,3275
100250,3375
100625,81250
100626,81251
100630,81255
100650,81275
100750,96875
101250,81875
103125,93750
103126,93751
103130,93755
103150,93775
103250,93875
103750,94375
106250,96875
109375,78125
109376,78126
109377,109375
109378,109375
109380,78130
109381,78131
109382,109380
109385,109375
109386,109376
109390,109375
109400,78150
109401,78151
109402,109400
109405,78155
109406,109375
109410,109400
109425,109375
109426,109376
109430,109380
109450,109375
109500,78250
109501,78251
109502,109500
109505,78255
109506,78256
109510,109500
109525,78275
109526,78276
109530,109375
109550,109500
109625,109375
109626,109376
109630,109380
109650,109400
109750,109375
110000,93750
110001,93751
110002,110000
110005,93755
110006,93756
110010,110000
110025,78775
110026,110000
110030,93780
110050,110000
110125,78875
110126,78876
110130,110000
110150,109375
110250,110000
110625,109375
110626,109376
110630,109380
110650,110000
110750,94500
111250,109375
112500,15625
112501,15626
112502,15627
112505,15630
112506,15631
112510,15635
112525,15650
112526,15651
112530,15655
112550,15675
112625,15750
112626,15751
112630,15755
112650,15775
112750,15875
113125,93750
113126,93751
113130,93755
113150,93775
113250,109375
113750,94375
115625,18750
115626,18751
115630,18755
115650,18775
115750,18875
116250,96875
118750,109375
125000,78125
125001,78126
125002,78127
125005,78130
125006,78131
125010,78135
125025,78150
125026,78151
125030,78155
125050,78175
125125,78250
125126,78251
125130,78255
125150,78275
125250,78375
125625,78750
125626,78751
125630,78755
125650,78775
125750,78875
126250,79375
128125,81250
128126,81251
128130,81255
128150,81275
128250,81375
128750,81875
131250,84375
140625,93750
140626,93751
140630,93755
140650,93775
140750,93875
141250,94375
143750,96875
156250,0
156251,1
156252,156250
156253,156250
156254,156251
156255,5
156256,6
156257,156255
156258,156255
156260,156250
156261,156251
156262,156260
156265,156250
156266,156251
156270,156255
156275,25
156276,26
156277,156275
156278,156275
156280,30
156281,156250
156282,156251
156285,156275
156286,156255
156290,156275
156300,156250
156301,156251
156302,156300
156305,156255
156306,156275
156310,156300
156325,156250
156326,156251
156330,156255
156350,156275
156375,125
156376,126
156377,156375
156378,156375
156380,130
156381,131
156382,156380
156385,156375
156386,136
156390,156375
156400,150
156401,151
156402,156400
156405,156250
156406,156375
156410,156255
156425,156375
156426,176
156430,156275
156450,156375
156500,156250
156501,156251
156502,156500
156505,156255
156506,156256
156510,156500
156525,156275
156526,156276
156530,156375
156550,156500
156625,156250
156626,156251
156630,156255
156650,156275
